id,sentiment
33527,1
23058,0
21058,1
31732,1
17285,1
42827,0
21696,0
28275,1
39743,0
24092,0
7314,0
9374,1
39753,1
1651,1
3890,0
33080,1
3794,0
27132,1
3412,1
44014,1
1137,0
12132,1
8704,0
17178,0
35534,0
9215,0
11200,0
18979,1
18845,1
4283,1
15591,0
22466,0
28479,1
19809,1
10867,0
9365,0
21056,1
21586,0
1673,1
27972,1
13539,1
2585,1
14597,0
19720,0
22554,0
44556,1
27872,1
49402,0
688,0
19420,1
37042,1
17137,0
41927,1
46778,0
36917,0
16205,1
35380,1
28825,0
3562,1
936,1
13277,1
1114,0
14248,0
29204,1
33141,0
25004,1
12052,1
47029,0
26618,1
18947,1
11502,1
43241,1
25825,0
15229,1
46999,0
27404,1
17937,1
37928,1
35276,1
35873,1
28741,0
19096,0
15813,1
36232,1
15569,1
9460,1
32393,1
58,0
46199,0
28957,1
48973,0
6726,1
8716,0
3160,0
7880,1
23993,1
12558,0
5713,1
38082,0
35284,0
33476,0
32215,1
5678,0
19347,0
15546,1
37595,1
35455,1
43089,1
18286,0
35283,0
35831,1
7677,0
23660,0
24924,1
30020,0
23428,0
8296,0
2271,1
20972,1
41246,0
22137,1
3583,0
6421,0
2425,1
42480,0
2404,0
22056,0
20667,1
45462,1
28584,0
28029,1
24383,0
6671,0
29507,0
36369,1
3568,0
12033,1
38071,1
33225,0
10665,1
739,1
34879,0
33061,0
32147,0
14215,1
13855,1
20966,0
39519,1
2623,0
15881,1
17548,1
18168,0
19058,1
10328,1
32087,0
9903,1
38818,1
49023,0
11981,1
15013,0
44167,1
5124,1
40127,0
27827,1
24643,0
41515,0
21320,0
882,0
41543,1
49339,1
6238,0
12028,0
26886,0
8537,1
10670,1
18225,1
12634,1
41371,1
26631,1
27360,0
12230,1
17461,1
4682,0
30829,0
32964,0
20450,0
20413,0
41487,0
47542,0
4488,0
49028,1
18819,0
35913,1
22679,0
17596,0
37375,0
20485,1
39977,0
15759,0
43411,0
14867,0
24132,1
46884,0
22753,0
28883,0
19588,1
37816,1
22715,1
29779,0
17365,0
49972,1
16658,0
43042,0
10425,0
11234,0
34471,0
4088,1
34318,0
17936,1
43866,0
12577,0
20864,0
26027,0
37795,0
17714,0
35191,1
31915,1
33017,0
9798,0
41867,1
7111,1
27141,1
11274,0
13724,1
25180,0
31529,0
41748,1
23679,0
27675,0
2565,0
11339,0
26819,0
1895,1
20474,1
8913,0
7866,0
40138,0
39934,1
25712,0
23112,1
9982,1
27034,1
4848,1
23981,1
24207,1
12006,0
46134,0
27443,0
2594,1
33179,0
7423,0
47579,1
28609,0
12511,1
7364,1
10980,0
17052,1
38942,1
35399,0
32298,0
2178,0
17279,0
34460,1
38978,0
